,選　手,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,打率,長打率,出塁率,球団,成績種別
*,神里　和毅,26,4,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,.000,.000,.250,横浜DeNAベイスターズ,打撃成績
*,京田　陽太,47,102,98,9,23,4,1,1,32,7,0,0,0,0,1,0,3,30,1,.235,.327,.265,横浜DeNAベイスターズ,打撃成績
*,ケイ,16,32,23,0,2,0,0,0,2,0,0,0,8,0,1,0,0,10,0,.087,.087,.125,横浜DeNAベイスターズ,打撃成績
*,坂本　裕哉,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,横浜DeNAベイスターズ,打撃成績
*,佐野　恵太,87,356,326,24,88,15,0,7,124,41,0,0,0,2,26,1,2,39,6,.270,.380,.326,横浜DeNAベイスターズ,打撃成績
*,篠木　健太郎,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,横浜DeNAベイスターズ,打撃成績
*,柴田　竜拓,39,21,15,2,1,0,0,0,1,0,1,1,2,0,4,0,0,5,0,.067,.067,.263,横浜DeNAベイスターズ,打撃成績
*,関根　大気,7,19,19,2,4,3,0,0,7,1,0,0,0,0,0,0,0,2,0,.211,.368,.211,横浜DeNAベイスターズ,打撃成績
*,筒香　嘉智,42,134,121,11,21,7,0,6,46,10,0,0,0,0,13,1,0,41,4,.174,.380,.254,横浜DeNAベイスターズ,打撃成績
*,戸柱　恭孝,33,64,60,2,15,2,0,2,23,5,0,0,1,1,2,0,0,9,2,.250,.383,.270,横浜DeNAベイスターズ,打撃成績
*,林　琢真,44,100,86,13,18,5,0,0,23,3,7,1,5,0,8,0,1,20,2,.209,.267,.284,横浜DeNAベイスターズ,打撃成績
*,颯,21,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,横浜DeNAベイスターズ,打撃成績
*,フォード,4,15,15,0,4,0,0,0,4,1,0,0,0,0,0,0,0,3,0,.267,.267,.267,横浜DeNAベイスターズ,打撃成績
*,三森　大貴,63,151,136,15,28,8,0,0,36,7,14,5,0,1,14,4,0,26,1,.206,.265,.278,横浜DeNAベイスターズ,打撃成績
*,森　敬斗,28,75,72,4,11,0,1,0,13,4,0,2,0,1,2,0,0,16,1,.153,.181,.173,横浜DeNAベイスターズ,打撃成績
*,森原　康平,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,横浜DeNAベイスターズ,打撃成績
*,度会　隆輝,71,259,232,19,52,10,2,4,78,21,0,1,3,2,21,1,1,33,4,.224,.336,.289,横浜DeNAベイスターズ,打撃成績
横浜DeNAベイスターズ||,公式戦(セ・リーグ),：,チーム打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,打撃成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,横浜DeNAベイスターズ,打撃成績
*,秋山　翔吾,38,95,89,5,22,3,0,1,28,3,0,0,1,0,4,0,1,20,1,.247,.315,.287,広島東洋カープ,打撃成績
*,大盛　穂,63,103,97,21,28,5,0,3,42,8,6,0,1,0,5,0,0,24,1,.289,.433,.324,広島東洋カープ,打撃成績
*,岡本　駿,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,広島東洋カープ,打撃成績
*,小園　海斗,88,375,341,33,99,18,3,2,129,28,9,4,2,1,29,5,2,31,5,.290,.378,.349,広島東洋カープ,打撃成績
*,斉藤　優汰,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,広島東洋カープ,打撃成績
*,坂倉　将吾,62,240,207,21,55,14,1,3,80,21,1,0,4,1,26,2,2,44,4,.266,.386,.352,広島東洋カープ,打撃成績
*,佐藤　柳之介,4,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,.250,.250,.250,広島東洋カープ,打撃成績
*,鈴木　健矢,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,広島東洋カープ,打撃成績
