,投　手,登板,勝利,敗北,セ｜ブ,ホ｜ル,ＨＰ,完投,完封勝,無四球,勝率,打者,投球回,,安打,本塁打,四球,故意四,死球,三振,暴投,ボ｜ク,失点,自責点,防御率,球団,成績種別
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,千葉ロッテマリーンズ,投手成績
*,辛島　航,2,0,2,0,0,0,0,0,0,.000,32,6,,15,1,1,0,0,1,0,0,7,7,10.50,東北楽天ゴールデンイーグルス,投手成績
*,古謝　樹,9,3,3,0,0,0,1,1,0,.500,211,48,.2,51,4,16,0,1,30,0,0,21,21,3.88,東北楽天ゴールデンイーグルス,投手成績
*,鈴木　翔天,24,0,2,4,11,11,0,0,0,.000,88,22,,13,0,9,0,0,26,1,0,5,5,2.05,東北楽天ゴールデンイーグルス,投手成績
*,ターリー,2,0,0,0,0,0,0,0,0,.000,7,1,.1,2,0,1,0,0,1,0,0,1,1,6.75,東北楽天ゴールデンイーグルス,投手成績
*,早川　隆久,11,2,7,0,0,0,0,0,0,.222,275,66,,60,9,19,0,1,60,3,1,29,27,3.68,東北楽天ゴールデンイーグルス,投手成績
*,藤井　聖,13,3,4,0,0,0,0,0,0,.429,311,73,,69,6,29,0,3,42,0,0,24,23,2.84,東北楽天ゴールデンイーグルス,投手成績
東北楽天ゴールデンイーグルス||,公式戦(パ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,東北楽天ゴールデンイーグルス,投手成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,東北楽天ゴールデンイーグルス,投手成績
*,曽谷　龍平,15,8,4,0,0,0,1,0,1,.667,371,89,.1,87,6,20,1,4,81,2,0,35,32,3.22,オリックス・バファローズ,投手成績
*,田嶋　大樹,12,5,5,0,0,0,2,2,2,.500,298,74,,69,7,14,0,0,50,2,0,29,27,3.28,オリックス・バファローズ,投手成績
*,東松　快征,1,0,0,0,0,0,0,0,0,.000,9,2,,2,0,1,0,0,2,0,0,2,2,9.00,オリックス・バファローズ,投手成績
*,富山　凌雅,5,0,0,0,0,0,0,0,0,.000,23,4,,6,1,4,0,1,1,0,0,4,4,9.00,オリックス・バファローズ,投手成績
*,宮城　大弥,15,3,3,0,0,0,0,0,0,.500,424,105,.2,87,5,20,0,5,110,1,0,30,29,2.47,オリックス・バファローズ,投手成績
*,山田　修義,22,2,2,0,9,11,0,0,0,.500,78,16,.2,19,1,9,0,0,16,0,0,11,10,5.40,オリックス・バファローズ,投手成績
オリックス・バファローズ||,公式戦(パ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,オリックス・バファローズ,投手成績
ファーム(ウ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,オリックス・バファローズ,投手成績
*,佐々木　健,12,0,2,0,1,1,0,0,0,.000,49,11,.1,12,1,3,0,1,6,0,0,7,7,5.56,埼玉西武ライオンズ,投手成績
*,佐藤　隼輔,20,0,2,0,6,6,0,0,0,.000,93,19,.2,24,2,10,1,2,13,1,0,14,14,6.41,埼玉西武ライオンズ,投手成績
*,菅井　信也,9,5,4,0,0,0,0,0,0,.556,194,46,.2,33,4,25,0,0,39,0,0,14,14,2.70,埼玉西武ライオンズ,投手成績
*,隅田　知一郎,15,7,6,0,0,0,2,1,1,.538,421,106,,88,6,20,1,2,97,1,0,24,24,2.04,埼玉西武ライオンズ,投手成績
*,武内　夏暉,9,4,3,0,0,0,0,0,0,.571,218,52,,50,5,14,1,3,37,1,0,21,20,3.46,埼玉西武ライオンズ,投手成績
*,羽田　慎之介,21,1,1,0,2,3,0,0,0,.500,86,19,,16,0,13,0,3,24,1,0,6,6,2.84,埼玉西武ライオンズ,投手成績
埼玉西武ライオンズ||,公式戦(パ・リーグ),：,個人打撃|,チーム投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,埼玉西武ライオンズ,投手成績
ファーム(イ・リーグ),：,個人打撃|,個人投手|,個人守備|,,,,,,,,,,,,,,,,,,,,,,埼玉西武ライオンズ,投手成績
